uniqueID,drugName,condition,rating,date,usefulCount
232284,Amoxicillin / clavulanate,Bacterial Infection,7,2-Jul-17,4
232281,Amoxicillin / clavulanate,Sinusitis,9,9-Jul-17,15
232279,Amoxicillin / clavulanate,Sinusitis,1,15-Jul-17,4
232276,Amoxicillin / clavulanate,Bacterial Infection,2,25-Jul-17,4
232263,Belsomra,Insomnia,1,9-Jun-17,28
232253,Belsomra,Insomnia,1,8-Aug-17,19
232250,Belsomra,Insomnia,1,20-Aug-17,13
232249,Belsomra,Insomnia,8,28-Aug-17,19
232238,Monistat 1-Day or Night Combination Pack,Vaginal Yeast Infection,2,23-Nov-15,2
232237,Monistat 1-Day or Night Combination Pack,Vaginal Yeast Infection,1,16-Dec-15,3
232236,Monistat 1-Day or Night Combination Pack,Vaginal Yeast Infection,10,6-Jan-16,10
232222,Paroxetine,Hot Flashes,1,20-Nov-15,20
232219,Paroxetine,Anxiety,9,22-Nov-15,59
232216,Paroxetine,Post Traumatic Stress Disorde,10,29-Nov-15,33
232214,Paroxetine,Anxiety and Stress,10,3-Dec-15,16
232212,Paroxetine,Anxiety,9,4-Dec-15,108
232211,Paroxetine,Anxiety and Stress,10,11-Dec-15,83
232207,Paroxetine,Depression,7,29-Dec-15,23
232199,Amethia Lo,Birth Control,8,7-Aug-15,2
232198,Amethia Lo,Birth Control,9,23-Jun-16,2
232196,Cymbalta,Chronic Pain,3,16-Nov-15,15
232176,Cymbalta,Depression,5,25-Dec-15,10
232175,Cymbalta,Depression,1,30-Dec-15,22
232174,Cymbalta,Major Depressive Disorde,1,1-Jan-16,14
232168,Lorazepam,Anxiety,5,28-Dec-16,12
232161,Lorazepam,Sedation,10,11-Jan-17,20
232159,Lorazepam,Panic Disorde,9,14-Jan-17,59
232153,Lorazepam,Panic Disorde,10,28-Jan-17,24
232149,Lorazepam,Anxiety,10,19-Feb-17,38
232146,Alrex,Postoperative Ocular Inflammation,9,7-Aug-12,17
232145,Alrex,Conjunctivitis,1,3-Dec-16,0
232143,Interferon beta-1b,Multiple Sclerosis,7,26-Jun-09,24
232138,Crotamiton,Pruritus,10,31-Jul-09,2
232136,Crotamiton,Pruritus,9,5-Sep-16,2
232135,Ceritinib,Non-Small Cell Lung Cance,5,14-Aug-17,0
232133,Itraconazole,"Onychomycosis, Toenail",5,27-Jun-09,32
232130,Itraconazole,"Onychomycosis, Toenail",10,19-Sep-09,22
232125,Itraconazole,Coccidioidomycosis,9,20-Oct-11,16
232122,Itraconazole,Histoplasmosis,7,8-Jul-14,5
232120,Itraconazole,Not Listed / Othe,2,2-Jul-16,3
232101,Perampanel,Seizures,8,3-Apr-15,31
232099,Perampanel,Seizures,10,31-Dec-15,20
232098,Perampanel,Epilepsy,1,20-Jan-16,18
232090,Perampanel,Epilepsy,1,29-Mar-17,5
232087,Perampanel,Epilepsy,9,19-Apr-17,2
232086,Perampanel,Epilepsy,9,7-May-17,3
232082,Perampanel,Seizures,7,9-Nov-17,0
232081,Navane,10</span> users found this comment helpful.,10,19-Dec-10,10
232069,Trazodone,Depression,9,21-May-08,140
232062,Trazodone,Insomnia,9,8-Oct-08,43
232058,Trazodone,Insomnia,1,30-Jan-09,51
232057,Trazodone,Sedation,9,8-Feb-09,112
232048,Trazodone,Insomnia,10,20-Apr-09,203
232046,Trazodone,Depression,10,13-May-09,170
232045,Trazodone,Insomnia,10,15-May-09,28
232044,Trazodone,Insomnia,1,20-May-09,57
232043,Trazodone,Insomnia,9,4-Jun-09,96
232033,Trazodone,Sedation,10,6-Dec-09,114
232032,Trazodone,Sedation,10,7-Dec-09,151
232028,Trazodone,Insomnia,9,26-Dec-09,60
232011,Trazodone,ibromyalgia,10,12-Apr-10,39
232009,Trazodone,Depression,10,4-May-10,47
232005,Trazodone,Not Listed / Othe,2,17-Aug-09,4
232001,Trazodone,Sedation,3,8-Sep-09,40
231997,Trazodone,ibromyalgia,8,30-Sep-09,15
231993,Trazodone,Insomnia,7,27-Oct-09,17
231991,Trazodone,ibromyalgia,8,8-Nov-09,15
231989,Trazodone,Insomnia,1,11-Nov-09,29
231988,Trazodone,Insomnia,5,17-Nov-09,21
231980,Trazodone,Insomnia,2,9-Jul-10,40
231973,Trazodone,Insomnia,7,8-Aug-10,23
231967,Trazodone,Insomnia,5,17-Sep-10,36
231966,Trazodone,Depression,10,24-Sep-10,68
231962,Trazodone,Insomnia,8,5-Oct-10,13
231961,Trazodone,Anxiety,8,11-Oct-10,117
231949,Trazodone,Insomnia,9,24-Jul-11,41
231944,Trazodone,Insomnia,8,20-Aug-11,11
231943,Trazodone,Insomnia,10,22-Aug-11,45
231938,Trazodone,Insomnia,9,20-Sep-11,24
231937,Trazodone,ibromyalgia,6,13-Oct-11,29
231934,Trazodone,Insomnia,2,19-Oct-11,12
231932,Trazodone,Depression,1,29-Oct-10,78
231928,Trazodone,Insomnia,10,21-Nov-10,38
231926,Trazodone,Depression,10,18-Dec-10,60
231921,Trazodone,Sedation,1,1-Feb-11,35
231916,Trazodone,Insomnia,8,2-Mar-11,13
231913,Trazodone,Anxiety,9,16-Mar-11,58
231912,Trazodone,Insomnia,8,17-Mar-11,17
231911,Trazodone,Insomnia,9,26-Mar-11,43
231908,Trazodone,Sedation,10,24-Oct-11,91
231905,Trazodone,Insomnia,10,29-Oct-11,22
231903,Trazodone,Insomnia,9,10-Nov-11,17
231895,Trazodone,Depression,9,12-Jan-12,63
231893,Trazodone,Insomnia,3,19-Jan-12,17
231892,Trazodone,ibromyalgia,9,22-Jan-12,30
231889,Trazodone,Insomnia,6,7-Feb-12,26
231887,Trazodone,Anxiety,9,15-Feb-12,50
231886,Trazodone,Sedation,10,23-Feb-12,86
231883,Trazodone,Insomnia,8,27-Feb-12,21
231876,Trazodone,Insomnia,5,11-Apr-12,10
231872,Trazodone,Sedation,9,21-May-12,26
231867,Trazodone,Anxiety,8,11-Jul-12,73
231866,Trazodone,ibromyalgia,10,14-Jul-12,48
231856,Trazodone,Insomnia,9,10-Jan-13,101
231846,Trazodone,Depression,10,27-Feb-13,140
231845,Trazodone,Insomnia,5,2-Mar-13,41
231840,Trazodone,Insomnia,8,13-Apr-13,67
231838,Trazodone,Insomnia,1,26-Apr-13,55
231833,Trazodone,Insomnia,8,28-May-13,50
231832,Trazodone,Insomnia,9,29-May-13,64
231824,Trazodone,Insomnia,10,19-Jul-13,29
231823,Trazodone,Insomnia,10,23-Jul-13,40
231820,Trazodone,Insomnia,3,27-Jul-13,26
231811,Trazodone,Insomnia,9,29-Aug-13,92
231807,Trazodone,Anxiety,9,7-Dec-13,127
